,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,highway-mpg,price
0,3,115.0,2,1.0,1.0,0,0,1.0,1.0,88.6,168.8,64.1,48.8,2548,1.0,4.0,130,6.0,3.47,2.68,9.0,111.0,5000.0,27,13495
1,3,115.0,2,1.0,1.0,0,0,1.0,1.0,88.6,168.8,64.1,48.8,2548,1.0,4.0,130,6.0,3.47,2.68,9.0,111.0,5000.0,27,16500
2,1,115.0,2,1.0,1.0,0,3,1.0,1.0,94.5,171.2,65.5,52.4,2823,2.0,3.0,152,6.0,2.68,3.47,9.0,154.0,5000.0,26,16500
3,2,164.0,4,1.0,1.0,1,4,2.0,1.0,99.8,176.6,66.2,54.3,2337,4.0,4.0,109,6.0,3.19,3.4,10.0,102.0,5500.0,30,13950
4,2,164.0,4,1.0,1.0,1,4,0.0,1.0,99.4,176.6,66.4,54.3,2824,4.0,2.0,136,6.0,3.19,3.4,8.0,115.0,5500.0,22,17450
5,2,115.0,4,1.0,1.0,0,4,2.0,1.0,99.8,177.3,66.3,53.1,2507,4.0,2.0,136,6.0,3.19,3.4,8.5,110.0,5500.0,25,15250
6,1,158.0,4,1.0,1.0,1,4,2.0,1.0,105.8,192.7,65.5,55.7,2844,4.0,2.0,136,6.0,3.19,3.4,8.5,110.0,5500.0,25,17710
7,1,115.0,4,1.0,1.0,1,2,2.0,1.0,105.8,192.7,65.5,55.7,2954,4.0,2.0,136,6.0,3.19,3.4,8.5,110.0,5500.0,25,18920
8,1,158.0,4,1.0,0.0,1,4,2.0,1.0,105.8,192.7,65.5,55.9,3086,4.0,2.0,131,6.0,3.13,3.4,8.3,140.0,5500.0,20,23875
9,2,115.0,6,1.0,1.0,0,4,1.0,1.0,101.2,176.8,64.8,54.3,2395,4.0,4.0,108,6.0,3.5,2.8,8.8,101.0,5800.0,29,16430
10,0,115.0,6,1.0,1.0,1,4,1.0,1.0,101.2,176.8,64.8,54.3,2395,4.0,4.0,108,6.0,3.5,2.8,8.8,101.0,5800.0,29,16925
11,0,188.0,6,1.0,1.0,0,4,1.0,1.0,101.2,176.8,64.8,54.3,2710,4.0,3.0,164,6.0,3.31,3.19,9.0,121.0,4250.0,28,20970
12,0,188.0,6,1.0,1.0,1,4,1.0,1.0,101.2,176.8,64.8,54.3,2765,4.0,3.0,164,6.0,3.31,3.19,9.0,121.0,4250.0,28,21105
13,1,115.0,6,1.0,1.0,1,4,1.0,1.0,103.5,189.0,66.9,55.7,3055,4.0,3.0,164,6.0,3.31,3.19,9.0,121.0,4250.0,25,24565
14,0,115.0,6,1.0,1.0,1,4,1.0,1.0,103.5,189.0,66.9,55.7,3230,4.0,3.0,120,6.0,3.62,3.39,8.0,182.0,5400.0,22,30760
15,0,115.0,6,1.0,1.0,0,4,1.0,1.0,103.5,193.8,67.9,53.7,3380,4.0,3.0,120,6.0,3.62,3.39,8.0,182.0,5400.0,22,41315
16,0,115.0,6,1.0,1.0,1,4,1.0,1.0,110.0,197.0,65.5,56.3,3505,4.0,3.0,120,6.0,3.62,3.39,8.0,182.0,5400.0,20,36880
17,2,121.0,2,1.0,1.0,0,3,2.0,1.0,88.4,173.2,65.5,53.2,1488,1.0,0.0,61,5.0,2.91,3.03,9.5,48.0,5100.0,30,5151
18,1,98.0,2,1.0,1.0,0,3,2.0,1.0,94.5,155.9,63.6,52.0,1874,4.0,4.0,90,5.0,3.03,3.11,9.6,70.0,5400.0,43,6295
19,0,81.0,2,1.0,1.0,1,4,2.0,1.0,94.5,158.8,63.6,52.0,1909,4.0,4.0,90,5.0,3.03,3.11,9.6,70.0,5400.0,43,6575
20,1,118.0,7,1.0,1.0,0,3,2.0,1.0,93.7,157.3,63.8,50.8,1876,4.0,4.0,90,5.0,2.97,3.23,9.41,68.0,5500.0,41,5572
21,1,118.0,7,1.0,1.0,0,3,2.0,1.0,93.7,157.3,63.8,50.8,1876,4.0,4.0,90,5.0,2.97,3.23,9.4,68.0,5500.0,38,6377
